               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.042276,           0.0076653,           0.0078287,             0.94331,                   1,               0.995,               0.597,             0.02911,            0.011378,           0.0043552,             0.00889,             0.00889,             0.00889
                  39,            0.042935,           0.0091339,           0.0077914,             0.94999,                   1,               0.995,              0.6965,              0.0342,            0.010669,           0.0047997,             0.00886,             0.00886,             0.00886
                  40,            0.039125,           0.0085303,           0.0079477,             0.93381,                   1,               0.995,               0.597,            0.023622,            0.011407,           0.0060031,             0.00883,             0.00883,             0.00883
                  41,            0.037728,           0.0083541,            0.007126,             0.88988,                   1,               0.995,              0.6965,            0.026523,              0.0116,           0.0070432,              0.0088,              0.0088,              0.0088
                  42,            0.036555,           0.0083371,           0.0072243,             0.89749,                   1,               0.995,             0.42011,            0.034925,            0.010721,           0.0063748,             0.00877,             0.00877,             0.00877
                  43,            0.039724,             0.00691,           0.0064046,              0.9266,                   1,               0.995,               0.597,            0.026234,            0.010548,           0.0049612,             0.00874,             0.00874,             0.00874
                  44,            0.037776,            0.008524,           0.0059622,             0.94138,                   1,               0.995,              0.6965,            0.032898,           0.0095009,           0.0036255,             0.00871,             0.00871,             0.00871
                  45,            0.036786,           0.0081972,           0.0053033,             0.95154,                   1,               0.995,               0.398,            0.032118,           0.0090322,           0.0027296,             0.00868,             0.00868,             0.00868
                  46,            0.037841,           0.0078827,            0.005204,             0.94646,                   1,               0.995,               0.398,             0.02497,           0.0097746,           0.0029837,             0.00865,             0.00865,             0.00865
                  47,            0.037707,           0.0081954,           0.0055069,             0.95409,                   1,               0.995,              0.6965,            0.021829,           0.0091164,           0.0039441,             0.00862,             0.00862,             0.00862
                  48,            0.032867,           0.0074983,           0.0051498,             0.96237,                   1,               0.995,               0.597,            0.024322,            0.008836,           0.0033609,             0.00859,             0.00859,             0.00859
                  49,            0.033716,           0.0072832,           0.0052357,             0.95874,                   1,               0.995,              0.6965,            0.021335,           0.0093313,           0.0031998,             0.00856,             0.00856,             0.00856
                  50,            0.036028,           0.0078802,           0.0052323,             0.95809,                   1,               0.995,               0.597,            0.023538,           0.0094622,           0.0029773,             0.00853,             0.00853,             0.00853
                  51,            0.034921,           0.0070235,           0.0047758,             0.96168,                   1,               0.995,               0.597,            0.024082,           0.0086224,           0.0022925,              0.0085,              0.0085,              0.0085
                  52,            0.034916,           0.0070231,           0.0044497,             0.95975,                   1,               0.995,               0.597,            0.026163,           0.0087852,           0.0024033,             0.00847,             0.00847,             0.00847
                  53,            0.035307,           0.0072779,           0.0043133,             0.96011,                   1,               0.995,              0.6965,            0.020749,            0.010326,           0.0027095,             0.00844,             0.00844,             0.00844
                  54,            0.033026,           0.0063351,           0.0039891,             0.95799,                   1,               0.995,               0.597,            0.028411,           0.0089134,           0.0022806,             0.00841,             0.00841,             0.00841
                  55,            0.034599,           0.0068521,             0.00412,             0.95732,                   1,               0.995,               0.597,            0.029068,            0.008087,           0.0020567,             0.00838,             0.00838,             0.00838
                  56,            0.036274,           0.0067816,           0.0046696,             0.96177,                   1,               0.995,               0.796,            0.026182,           0.0077105,           0.0019409,             0.00835,             0.00835,             0.00835
                  57,            0.032879,           0.0066487,           0.0045997,             0.96301,                   1,               0.995,              0.6965,            0.029218,           0.0076597,           0.0020425,             0.00832,             0.00832,             0.00832
                  58,            0.032718,           0.0064811,           0.0037453,             0.96613,                   1,               0.995,               0.597,             0.03138,            0.007115,           0.0019482,             0.00829,             0.00829,             0.00829
                  59,            0.033072,           0.0063655,           0.0032784,             0.96354,                   1,               0.995,               0.597,            0.025936,           0.0075583,           0.0021643,             0.00826,             0.00826,             0.00826
                  60,            0.033243,           0.0063511,           0.0037689,             0.96255,                   1,               0.995,               0.796,            0.022401,           0.0074675,           0.0022618,             0.00823,             0.00823,             0.00823
                  61,            0.036592,           0.0065029,           0.0039225,             0.96225,                   1,               0.995,              0.6965,            0.018365,            0.007844,           0.0022375,              0.0082,              0.0082,              0.0082
                  62,            0.031963,           0.0064963,            0.004257,             0.96287,                   1,               0.995,               0.597,            0.021762,           0.0076517,           0.0023158,             0.00817,             0.00817,             0.00817
                  63,            0.036001,           0.0062182,           0.0037654,              0.9608,                   1,               0.995,              0.6965,             0.02366,           0.0076904,           0.0025854,             0.00814,             0.00814,             0.00814
                  64,            0.032363,           0.0063809,           0.0033294,             0.96483,                   1,               0.995,              0.6965,            0.022543,           0.0074301,           0.0022641,             0.00811,             0.00811,             0.00811
                  65,            0.032668,           0.0059585,           0.0034906,             0.96857,                   1,               0.995,              0.6965,            0.021843,             0.00688,            0.001582,             0.00808,             0.00808,             0.00808
                  66,            0.031347,            0.006651,           0.0027486,             0.96635,                   1,               0.995,               0.398,            0.025236,           0.0067225,           0.0016125,             0.00805,             0.00805,             0.00805
                  67,            0.032704,           0.0057351,           0.0036636,              0.9669,                   1,               0.995,               0.597,            0.032242,           0.0064915,           0.0021602,             0.00802,             0.00802,             0.00802
                  68,            0.032285,           0.0060499,           0.0038656,             0.96635,                   1,               0.995,              0.6965,            0.027343,           0.0066597,           0.0024019,             0.00799,             0.00799,             0.00799
                  69,            0.033513,           0.0061712,           0.0038015,             0.96502,                   1,               0.995,               0.597,            0.025821,            0.006661,           0.0023332,             0.00796,             0.00796,             0.00796
                  70,            0.032267,           0.0067242,           0.0037899,             0.96679,                   1,               0.995,              0.6965,            0.023174,            0.006617,           0.0022179,             0.00793,             0.00793,             0.00793
                  71,            0.031511,           0.0064638,           0.0033007,             0.96722,                   1,               0.995,               0.796,            0.020348,           0.0065255,           0.0022163,              0.0079,              0.0079,              0.0079
                  72,            0.030696,           0.0059759,           0.0029752,             0.96897,                   1,               0.995,               0.597,            0.023323,           0.0067919,           0.0020528,             0.00787,             0.00787,             0.00787
                  73,            0.033717,           0.0059084,            0.003001,               0.969,                   1,               0.995,               0.796,            0.024855,           0.0061964,           0.0015369,             0.00784,             0.00784,             0.00784
                  74,            0.031225,           0.0056901,            0.003346,             0.96904,                   1,               0.995,               0.796,            0.027221,           0.0059921,           0.0013742,             0.00781,             0.00781,             0.00781
                  75,            0.033266,           0.0063102,           0.0031255,             0.96858,                   1,               0.995,              0.4975,            0.027507,           0.0063366,           0.0016335,             0.00778,             0.00778,             0.00778
                  76,            0.032165,           0.0058321,           0.0031013,             0.96678,                   1,               0.995,               0.597,             0.03306,           0.0057838,           0.0017187,             0.00775,             0.00775,             0.00775
                  77,            0.030775,           0.0062625,           0.0030041,              0.9686,                   1,               0.995,              0.6965,            0.024194,           0.0056764,           0.0014719,             0.00772,             0.00772,             0.00772
                  78,            0.029677,           0.0062357,           0.0027778,             0.96941,                   1,               0.995,              0.6965,            0.023968,           0.0056303,           0.0013202,             0.00769,             0.00769,             0.00769
                  79,            0.030536,           0.0055604,           0.0026854,             0.96294,                   1,               0.995,               0.597,            0.028463,           0.0061457,           0.0017741,             0.00766,             0.00766,             0.00766
                  80,             0.03038,           0.0053046,           0.0025645,             0.96381,                   1,               0.995,              0.6965,            0.022488,           0.0063099,            0.001628,             0.00763,             0.00763,             0.00763
